country,year,sex,age,suicides_num,population
United States of America,1989,female,5-14 years,56,17151000
United States of America,1989,female,55-74 years,1432,21480000
United States of America,1989,female,75+ years,491,8262000
United States of America,1989,male,15-24 years,4106,18459000
United States of America,1989,male,25-34 years,5339,21943000
United States of America,1989,male,35-54 years,6814,30135000
United States of America,1989,male,5-14 years,184,18010000
United States of America,1989,male,55-74 years,5185,18295000
United States of America,1989,male,75+ years,2462,4541000
United States of America,1990,female,15-24 years,709,18097900
United States of America,1990,female,25-34 years,1211,21596400
United States of America,1990,female,35-54 years,2175,31749500
United States of America,1990,female,5-14 years,69,17124400
United States of America,1990,female,55-74 years,1504,21296300
United States of America,1990,female,75+ years,511,8447400
United States of America,1990,male,15-24 years,4160,18915400
United States of America,1990,male,25-34 years,5339,21564300
United States of America,1990,male,35-54 years,7260,30742000
United States of America,1990,male,5-14 years,195,17970800
United States of America,1990,male,55-74 years,5109,17861900
United States of America,1990,male,75+ years,2653,4585900
United States of America,1991,female,15-24 years,678,17790000
United States of America,1991,female,25-34 years,1153,21450000
United States of America,1991,female,35-54 years,2296,33017000
United States of America,1991,female,5-14 years,58,17520000
United States of America,1991,female,55-74 years,1342,21331000
United States of America,1991,female,75+ years,511,8705000
United States of America,1991,male,15-24 years,4073,18609000
United States of America,1991,male,25-34 years,5361,21427000
United States of America,1991,male,35-54 years,7454,31995000
United States of America,1991,male,5-14 years,208,18388000
United States of America,1991,male,55-74 years,4983,17954000
United States of America,1991,male,75+ years,2673,4769000
United States of America,1992,female,15-24 years,649,17668700
United States of America,1992,female,25-34 years,1070,21212300
United States of America,1992,female,35-54 years,2348,34156600
United States of America,1992,female,5-14 years,82,17783300
United States of America,1992,female,55-74 years,1325,21346900
United States of America,1992,female,75+ years,549,8898100
United States of America,1992,male,15-24 years,4044,18478000
United States of America,1992,male,25-34 years,5102,21232500
United States of America,1992,male,35-54 years,7679,33165400
United States of America,1992,male,5-14 years,232,18668200
United States of America,1992,male,55-74 years,4818,18038900
United States of America,1992,male,75+ years,2573,4916700
United States of America,1993,female,15-24 years,730,17630000
United States of America,1993,female,25-34 years,1089,20933400
United States of America,1993,female,35-54 years,2362,35236400
United States of America,1993,female,5-14 years,88,18078200
United States of America,1993,female,55-74 years,1304,21398900
United States of America,1993,female,75+ years,519,9090400
United States of America,1993,male,15-24 years,4119,18399400
United States of America,1993,male,25-34 years,5218,20942000
United States of America,1993,male,35-54 years,7976,34205000
United States of America,1993,male,5-14 years,233,18972100
United States of America,1993,male,55-74 years,4797,18163000
United States of America,1993,male,75+ years,2649,5043500
United States of America,1994,female,15-24 years,654,17595500
United States of America,1994,female,25-34 years,1059,20677400
United States of America,1994,female,35-54 years,2472,36290200
United States of America,1994,female,5-14 years,88,18351800
United States of America,1994,female,55-74 years,1179,21456100
United States of America,1994,female,75+ years,514,9261000
United States of America,1994,male,15-24 years,4302,18347400
United States of America,1994,male,25-34 years,5295,20676800
United States of America,1994,male,35-54 years,8199,35239700
United States of America,1994,male,5-14 years,234,19259500
United States of America,1994,male,55-74 years,4498,18273200
United States of America,1994,male,75+ years,2629,5185500
United States of America,1995,female,15-24 years,652,17594600
United States of America,1995,female,25-34 years,1058,20441200
United States of America,1995,female,35-54 years,2454,37303100
United States of America,1995,female,5-14 years,77,18606000
United States of America,1995,female,55-74 years,1157,21504100
United States of America,1995,female,75+ years,516,9426600
United States of America,1995,male,15-24 years,4132,18352000
United States of America,1995,male,25-34 years,5234,20432000
United States of America,1995,male,35-54 years,8545,36243300
United States of America,1995,male,5-14 years,260,19528500
United States of America,1995,male,55-74 years,4607,18386200
United States of America,1995,male,75+ years,2580,5346600
United States of America,1996,female,15-24 years,634,17604000
United States of America,1996,female,25-34 years,1013,20176900
United States of America,1996,female,35-54 years,2594,38357900
United States of America,1996,female,5-14 years,77,18740800
United States of America,1996,female,55-74 years,1118,21540200
United States of America,1996,female,75+ years,463,9635400
United States of America,1996,male,15-24 years,3724,18617800
United States of America,1996,male,25-34 years,4848,20191300
United States of America,1996,male,35-54 years,8984,37405100
United States of America,1996,male,5-14 years,225,19681500
United States of America,1996,male,55-74 years,4613,18490700
United States of America,1996,male,75+ years,2586,5556200
United States of America,1997,female,15-24 years,627,17773900
United States of America,1997,female,25-34 years,988,19799100
United States of America,1997,female,35-54 years,2758,39291000
United States of America,1997,female,5-14 years,74,18917200
United States of America,1997,female,55-74 years,1095,21652100
United States of America,1997,female,75+ years,499,9836300
United States of America,1997,male,15-24 years,3559,18805800
United States of America,1997,male,25-34 years,4684,19810400
United States of America,1997,male,35-54 years,8920,38339600
United States of America,1997,male,5-14 years,233,19860900
United States of America,1997,male,55-74 years,4514,18659400
United States of America,1997,male,75+ years,2566,5740700
United States of America,1998,female,15-24 years,603,18171800
United States of America,1998,female,25-34 years,961,19520600
United States of America,1998,female,35-54 years,2776,40104100
United States of America,1998,female,5-14 years,83,19112800
United States of America,1998,female,55-74 years,1094,22016000
United States of America,1998,female,75+ years,520,10057000
United States of America,1998,male,15-24 years,3532,19041700
United States of America,1998,male,25-34 years,4404,19253800
United States of America,1998,male,35-54 years,9192,39000700
United States of America,1998,male,5-14 years,241,20049800
United States of America,1998,male,55-74 years,4466,19055300
United States of America,1998,male,75+ years,2686,5948900
United States of America,1999,female,15-24 years,575,18439463
United States of America,1999,female,25-34 years,912,19109524
United States of America,1999,female,35-54 years,2674,40861603
United States of America,1999,female,5-14 years,50,19275566
United States of America,1999,female,55-74 years,1061,22258230
United States of America,1999,female,75+ years,469,10210401
United States of America,1999,male,15-24 years,3326,19334049
United States of America,1999,male,25-34 years,4194,18826288
United States of America,1999,male,35-54 years,8873,39753404
United States of America,1999,male,5-14 years,194,20219664
United States of America,1999,male,55-74 years,4306,19349103
United States of America,1999,male,75+ years,2549,6111376
United States of America,2000,female,15-24 years,570,19105073
United States of America,2000,female,25-34 years,854,19771195
United States of America,2000,female,35-54 years,2736,41881451
United States of America,2000,female,5-14 years,63,20034103
United States of America,2000,female,55-74 years,1084,22717040
United States of America,2000,female,75+ years,425,10494416
United States of America,2000,male,15-24 years,3424,20078818
United States of America,2000,male,25-34 years,3938,20120529
United States of America,2000,male,35-54 years,9263,40945028
United States of America,2000,male,5-14 years,244,21043474
United States of America,2000,male,55-74 years,4153,19948630
United States of America,2000,male,75+ years,2589,6106351
United States of America,2001,female,15-24 years,562,19463211
United States of America,2001,female,25-34 years,871,19593734
United States of America,2001,female,35-54 years,2893,42567863
United States of America,2001,female,5-14 years,65,20032634
United States of America,2001,female,55-74 years,1146,23170384
United States of America,2001,female,75+ years,412,10691894
United States of America,2001,male,15-24 years,3409,20485156
United States of America,2001,male,25-34 years,4199,20013572
United States of America,2001,male,35-54 years,9684,41638996
United States of America,2001,male,5-14 years,214,21032860
United States of America,2001,male,55-74 years,4603,20451417
United States of America,2001,male,75+ years,2549,6285825
United States of America,2002,female,15-24 years,578,19768514
United States of America,2002,female,25-34 years,911,19725528
United States of America,2002,female,35-54 years,3058,42957716
United States of America,2002,female,5-14 years,65,20024727
United States of America,2002,female,55-74 years,1191,23790625
United States of America,2002,female,75+ years,443,10856838
United States of America,2002,male,15-24 years,3432,20821269
United States of America,2002,male,25-34 years,4135,20202776
United States of America,2002,male,35-54 years,10101,42042827
United States of America,2002,male,5-14 years,199,21012559
United States of America,2002,male,55-74 years,4890,21085316
United States of America,2002,male,75+ years,2642,6470864
United States of America,2003,female,15-24 years,607,20023561
United States of America,2003,female,25-34 years,909,19650112
United States of America,2003,female,35-54 years,3058,42997878
United States of America,2003,female,5-14 years,56,19991981
United States of America,2003,female,55-74 years,1237,24463095
United States of America,2003,female,75+ years,414,10983008
United States of America,2003,male,15-24 years,3381,21182602
United States of America,2003,male,25-34 years,4156,20222486
United States of America,2003,male,35-54 years,10025,42177315
United States of America,2003,male,5-14 years,194,20976656
United States of America,2003,male,55-74 years,4941,21773685
United States of America,2003,male,75+ years,2499,6599131
United States of America,2004,female,15-24 years,720,20262722
United States of America,2004,female,25-34 years,932,19695906
United States of America,2004,female,35-54 years,3399,43240905
United States of America,2004,female,5-14 years,98,19890450
United States of America,2004,female,55-74 years,1301,25115333
United States of America,2004,female,75+ years,423,11104411
United States of America,2004,male,15-24 years,3596,21438383
United States of America,2004,male,25-34 years,4142,20336031
United States of America,2004,male,35-54 years,10145,42486552
United States of America,2004,male,5-14 years,187,20860278
United States of America,2004,male,55-74 years,4989,22427063
United States of America,2004,male,75+ years,2496,6726102
United States of America,2005,female,15-24 years,714,20429690
United States of America,2005,female,25-34 years,924,19721652
United States of America,2005,female,35-54 years,3209,43509335
United States of America,2005,female,5-14 years,68,19721304
United States of America,2005,female,55-74 years,1364,25839240
United States of America,2005,female,75+ years,450,11267059
United States of America,2005,male,15-24 years,3498,21647159
United States of America,2005,male,25-34 years,4066,20421260
United States of America,2005,male,35-54 years,10332,42835394
United States of America,2005,male,5-14 years,204,20675232
United States of America,2005,male,55-74 years,5190,23156114
United States of America,2005,male,75+ years,2610,6883241
United States of America,2006,female,15-24 years,661,20590472
United States of America,2006,female,25-34 years,932,19851326
United States of America,2006,female,35-54 years,3376,43805214
United States of America,2006,female,5-14 years,66,19697164
United States of America,2006,female,55-74 years,1536,26609380
United States of America,2006,female,75+ years,421,11356899
United States of America,2006,male,15-24 years,3528,21844954
United States of America,2006,male,25-34 years,4053,20564653
United States of America,2006,male,35-54 years,10641,43139910
United States of America,2006,male,5-14 years,153,20640120
United States of America,2006,male,55-74 years,5431,23894147
United States of America,2006,male,75+ years,2494,6986609
United States of America,2007,female,15-24 years,659,20765167
United States of America,2007,female,25-34 years,997,19839678
United States of America,2007,female,35-54 years,3525,43607902
United States of America,2007,female,5-14 years,53,19714203
United States of America,2007,female,55-74 years,1684,27395858
United States of America,2007,female,75+ years,411,11421017
United States of America,2007,male,15-24 years,3481,22014323
United States of America,2007,male,25-34 years,4281,20531378
United States of America,2007,male,35-54 years,10978,42992076
United States of America,2007,male,5-14 years,131,20659096
United States of America,2007,male,55-74 years,5830,24661084
United States of America,2007,male,75+ years,2566,7056824
United States of America,2008,female,15-24 years,738,21149435
United States of America,2008,female,25-34 years,1027,19812423
United States of America,2008,female,35-54 years,3619,42893858
United States of America,2008,female,5-14 years,68,20113575
United States of America,2008,female,55-74 years,1703,28307998
United States of America,2008,female,75+ years,428,11038522
United States of America,2008,male,15-24 years,3560,22184611
United States of America,2008,male,25-34 years,4273,20007152
United States of America,2008,male,35-54 years,11371,43002471
United States of America,2008,male,5-14 years,154,21074651
United States of America,2008,male,55-74 years,6558,25698503
United States of America,2008,male,75+ years,2531,7072366
United States of America,2009,female,15-24 years,776,21299140
United States of America,2009,female,25-34 years,1027,19992900
United States of America,2009,female,35-54 years,3664,42836835
United States of America,2009,female,5-14 years,90,20181953
United States of America,2009,female,55-74 years,1875,29296258
United States of America,2009,female,75+ years,389,11101144
United States of America,2009,male,15-24 years,3595,22343137
United States of America,2009,male,25-34 years,4293,20205941
United States of America,2009,male,35-54 years,11613,42932194
United States of America,2009,male,5-14 years,175,21139852
United States of America,2009,male,55-74 years,6851,26664733
United States of America,2009,male,75+ years,2552,7168575
United States of America,2010,female,15-24 years,830,21395712
United States of America,2010,female,25-34 years,1092,20180858
United States of America,2010,female,35-54 years,3604,42711237
United States of America,2010,female,5-14 years,87,20250632
United States of America,2010,female,55-74 years,2071,30326595
United States of America,2010,female,75+ years,403,11163521
United States of America,2010,male,15-24 years,3772,22463069
United States of America,2010,male,25-34 years,4645,20409866
United States of America,2010,male,35-54 years,11767,42798501
United States of America,2010,male,5-14 years,187,21207667
United States of America,2010,male,55-74 years,7287,27667895
United States of America,2010,male,75+ years,2617,7263596
United States of America,2011,female,15-24 years,863,21552069
United States of America,2011,female,25-34 years,1238,20408037
United States of America,2011,female,35-54 years,3776,42485156
United States of America,2011,female,5-14 years,86,20251453
United States of America,2011,female,55-74 years,2128,31268702
United States of America,2011,female,75+ years,421,11270969
United States of America,2011,male,15-24 years,3959,22622559
United States of America,2011,male,25-34 years,4862,20698307
United States of America,2011,male,35-54 years,11681,42566273
United States of America,2011,male,5-14 years,201,21185153
United States of America,2011,male,55-74 years,7572,28556351
United States of America,2011,male,75+ years,2721,7448796
United States of America,2012,female,15-24 years,954,21653970
United States of America,2012,female,25-34 years,1231,20667924
United States of America,2012,female,35-54 years,3857,42238495
United States of America,2012,female,5-14 years,85,20273917
United States of America,2012,female,55-74 years,2264,32244829
United States of America,2012,female,75+ years,428,11375645
United States of America,2012,male,15-24 years,3918,22713083
United States of America,2012,male,25-34 years,4985,21028158
United States of America,2012,male,35-54 years,11763,42326226
United States of America,2012,male,5-14 years,226,21198150
United States of America,2012,male,55-74 years,8032,29473157
United States of America,2012,male,75+ years,2853,7633574
United States of America,2013,female,15-24 years,975,21698877
United States of America,2013,female,25-34 years,1285,20951958
United States of America,2013,female,35-54 years,3776,41983845
United States of America,2013,female,5-14 years,143,20308672
United States of America,2013,female,55-74 years,2484,33229667
United States of America,2013,female,75+ years,431,11486590
United States of America,2013,male,15-24 years,3903,22735631
United States of America,2013,male,25-34 years,5063,21386891
United States of America,2013,male,35-54 years,11396,42085688
United States of America,2013,male,5-14 years,252,21233001
United States of America,2013,male,55-74 years,8445,30405404
United States of America,2013,male,75+ years,2990,7816638
United States of America,2014,female,15-24 years,990,21691057
United States of America,2014,female,25-34 years,1347,21250636
United States of America,2014,female,35-54 years,4018,41742299
United States of America,2014,female,5-14 years,151,20336916
United States of America,2014,female,55-74 years,2676,34193742
United States of America,2014,female,75+ years,477,11616299
United States of America,2014,male,15-24 years,4089,22700273
United States of America,2014,male,25-34 years,5222,21760455
United States of America,2014,male,35-54 years,11455,41858354
United States of America,2014,male,5-14 years,277,21264881
United States of America,2014,male,55-74 years,8961,31339875
United States of America,2014,male,75+ years,3106,7994948
United States of America,2015,female,15-24 years,1132,21633813
United States of America,2015,female,25-34 years,1444,21555712
United States of America,2015,female,35-54 years,4053,41531809
United States of America,2015,female,5-14 years,158,20342901
United States of America,2015,female,55-74 years,2872,35115610
United States of America,2015,female,75+ years,540,11778666
United States of America,2015,male,15-24 years,4359,22615073
United States of America,2015,male,25-34 years,5503,22137097
United States of America,2015,male,35-54 years,11634,41658010
United States of America,2015,male,5-14 years,255,21273987
United States of America,2015,male,55-74 years,9068,32264697
United States of America,2015,male,75+ years,3171,8171136
